"nearest_line_id","ID","Accident_Index","Location_Easting_OSGR","Location_Northing_OSGR","Longitude.before","Latitude.before","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_.District.","Local_Authority_.Highway.","X1st_Road_Class","X1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","X2nd_Road_Class","X2nd_Road_Number","Pedestrian_Crossing.Human_Control","Pedestrian_Crossing.Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location","year","Longitude","Latitude","snap_dist","X","Y","optional","FEATID","LAYER","Shape_Length"
"1253",2429,"2016950000154",327860,669230,-3.15417,55.910792,95,3,3,1,"2016-01-11",2,10:30:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,1,1,4,0,0,1,1,NA,"2016",-3.15559744059095,55.9107396528546,2.25932308085124,-3.15556515160732,55.9107484528914,TRUE,1253,"20mph existing streets",158.428219529993
"1262",2475,"2016950000679",319840,669580,-3.282552,55.912667,95,3,1,1,"2016-01-27",4,08:00:00,923,"S12000036",6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,NA,"2016",-3.28396278019902,55.9126129784922,2.51384962050871,-3.28398430810117,55.9125940915192,TRUE,1262,"20mph existing streets",235.433002070018
"1278",1363,"2014950005825",322520,676390,-3.243075,55.97427,95,3,1,1,"2014-11-16",1,21:15:00,923,"S12000036",6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,2,NA,"2014",-3.24305848850411,55.9742242875136,9.21334973100381,-3.24307500801911,55.9743059596548,TRUE,1278,"20mph existing streets",260.531892307547
"1278",12,"2013950003885",322590,676500,-3.241985,55.97527,95,2,1,1,"2013-08-08",5,21:31:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,NA,"2013",-3.24196882628988,55.9752236787669,0.997789277749874,-3.24195313785784,55.9752250397907,TRUE,1278,"20mph existing streets",260.531892307547
"129",2644,"2016950001828",319200,673880,-3.294076,55.95119,95,3,1,1,"2016-04-06",4,09:50:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,1,9,1,0,0,1,2,NA,"2016",-3.29548703013318,55.9511304871318,0.581038832674661,-3.29548940778467,55.9511354958426,TRUE,129,"20mph existing streets",185.540829695604
"134",1240,"2014950005082",319690,674240,-3.287768,55.954492,95,3,1,1,"2014-10-02",5,19:15:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,2,NA,"2014",-3.28774990103463,55.9544464157634,2.15491960953668,-3.28771862110303,55.9544542632033,TRUE,134,"20mph existing streets",1797.3842095816
"134",3550,"0017519",319680,674260,-3.28791597284148,55.9546243916666,NA,3,1,1,"2019-02-10",NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019",-3.28791597284148,55.9546243916666,3.54518771155767,-3.2878645121744,55.9546373020363,TRUE,134,"20mph existing streets",1797.3842095816
"136",1072,"2014950004343",326520,671760,-3.177733,55.933308,95,3,2,1,"2014-08-05",3,17:55:00,923,"S12000036",5,0,6,30,3,4,6,0,0,5,1,1,1,0,0,1,1,NA,"2014",-3.17771749676865,55.9332633748189,2.66522583365014,-3.17775776653045,55.9332559956595,TRUE,136,"20mph existing streets",997.203104583932
"136",3669,"0038619",326524,671753,-3.17765157889257,55.9332011067204,NA,3,2,1,"2019-03-29",NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019",-3.17765157889257,55.9332011067204,0.671226565288972,-3.17764811106363,55.9331954432676,TRUE,136,"20mph existing streets",997.203104583932
"137",2827,"2016950003016",329922,673187,-3.122215,55.946647,95,3,2,1,"2016-03-17",5,08:00:00,923,"S12000036",3,8,6,30,3,2,6,0,1,5,1,1,1,0,0,1,1,NA,"2016",-3.12364733664921,55.9465906860911,7.83060892089529,-3.12361293856422,55.9465235363197,TRUE,137,"20mph existing streets",1524.3769444791
